date,NVDA,AVGO,MSFT,META,JPM,XLF,XOM,SPY
2025-07-23,170.3622131,281.6265259,500.918335,711.2488403,291.1893616,52.28854752,105.8487167,627.2597656
2025-07-24,173.3149872,286.6099548,505.8793335,712.4649048,290.9832458,52.25900269,106.6767807,627.4674683
2025-07-25,173.0755768,288.0693054,508.6816101,710.3518066,293.0144043,52.62335205,106.3012543,630.118103
2025-07-28,176.3176117,292.1593018,507.4834595,715.2856445,292.6807861,52.25900269,107.3026505,629.9598999
2025-07-29,175.0806122,295.2566528,507.5527649,697.7131958,291.4641113,51.99313736,108.6891861,628.2982788
2025-07-30,178.8314667,300.4188232,508.216217,692.9389038,294.0054626,51.89466095,107.745575,627.5070801
2025-07-31,177.4348602,291.5636902,528.2778931,770.9133301,290.6790466,51.56970215,107.495224,625.1531372
2025-08-01,173.2950287,286.5404968,518.9797974,747.5599365,283.9380798,50.61453247,105.5694885,614.9065552
2025-08-04,179.5596619,295.5544128,530.3969727,773.8338013,288.7362366,51.11672974,103.3837585,624.2531128
2025-08-05,177.8239136,290.7992554,522.5841675,760.9660034,285.9005127,50.90994263,103.2585754,621.0881348
2025-08-06,178.9810791,299.4757385,519.8016968,769.4680176,285.8808899,51.15612411,102.5556793,625.845459
2025-08-07,180.327774,301.5505371,515.7418823,759.3411865,281.5536499,50.58498383,102.0164719,625.3212891
2025-08-08,182.2530518,302.751709,516.9300537,766.7868652,283.3395081,51.05765152,102.8349228,630.1972046
2025-08-11,181.6146088,301.6894836,516.6627197,763.368103,284.1244507,51.03796005,101.9009323,628.9510498
2025-08-12,182.7119141,310.5545349,524.0595703,787.4191895,287.3527222,51.65832901,102.1897888,635.6468506
2025-08-13,181.1457672,306.8417358,515.484375,777.5316162,285.0762634,51.95374298,103.605217,637.8227539
2025-08-14,181.574707,308.9661865,517.3657227,779.5748901,288.6381531,52.19992447,103.3933868,637.8820801
2025-08-15,180.0085449,304.1117554,515.0783691,782.6647949,285.0370178,51.65832901,103.4905624,636.3886108
2025-08-18,181.5647278,303.5359802,512.0384521,764.8631592,286.0574951,51.69771957,103.7140884,636.2501831
2025-08-19,175.2103271,292.7648926,504.7801819,749.0249634,285.2038574,51.79618454,104.3943634,632.7984009
2025-08-20,174.9709167,289.0520935,500.7698669,745.2772827,286.7541504,52.06206512,105.4731064,631.1170044
2025-08-21,174.5519257,287.4934998,500.1251526,736.6854858,285.9986267,51.89466095,106.1533966,628.585144
2025-08-22,177.5545807,291.8615112,503.0907593,752.3242188,290.6790466,52.75136948,108.1456528,638.2382202
2025-08-25,179.3701324,292.0898132,500.1449585,750.8391113,289.3642578,52.44610214,108.5926895,635.4292603
2025-08-26,181.3253174,295.8423157,497.9430847,751.6364746,292.965332,52.84983826,108.3497314,638.0897827
2025-08-27,181.1557465,298.0660706,502.6047668,744.9385376,293.6620178,52.95815659,109.5742493,639.5436401
2025-08-28,179.7292328,306.4049072,505.4810791,748.656189,295.4184265,53.02708817,110.157341,641.8085327
